_input_row,candidate_formula,prototype_id,substitution,wyckoff_letter,central_site_index,central_species,central_frac_coords,neighbor_counts_pattern,neighbor_nspecies_pattern,n_detected_shells,shell1_count,shell1_nspecies,shell1_species,shell1_distances_A,shell2_count,shell2_nspecies,shell2_species,shell2_distances_A,shell3_count,shell3_nspecies,shell3_species,shell3_distances_A,shell4_count,shell4_nspecies,shell4_species,shell4_distances_A
5,,,,,11,Fe,"11.000000,0.753193,0.754409",1|16|3|21,1|4|1|3,4,1,1,Ti,0.0209,16,4,"Co,Fe,Ni,Ti",1.7485;1.7485;1.8110;1.8110;1.8256;1.8256;1.8363;1.8363;1.8394;1.8394;1.8595;1.8595;1.8882;1.8882;1.9299;1.9299,3,1,Co,2.4579;2.4579;2.4579,21,3,"Co,Fe,Ni",2.5670;2.5670;2.5670;2.5675;2.5675;2.5675;2.5690;2.5690;2.5690;2.5898;2.5898;2.5898;2.5969;2.5969;2.5969;2.6065;2.6065;2.6065;2.6735;2.6735;2.6735
5,,,,,12,Ni,"12.000000,0.499272,0.502867",1|16|24|8,1|4|5|2,4,1,1,Fe,0.1149,16,4,"Co,Fe,Ni,Ti",1.7512;1.7512;1.7837;1.7837;1.7886;1.7886;1.7929;1.7929;1.7939;1.7939;1.7983;1.7983;1.8216;1.8216;1.8231;1.8231,24,5,"Co,Cu,Fe,Ni,Ti",2.4984;2.4984;2.4984;2.5364;2.5364;2.5364;2.5375;2.5375;2.5375;2.5423;2.5423;2.5423;2.5552;2.5552;2.5552;2.5656;2.5656;2.5656;2.5670;2.5670;2.5670;2.5965;2.5965;2.5965,8,2,"Co,Fe",3.5117;3.5117;3.5356;3.5356;3.5412;3.5412;3.5650;3.5650
5,,,,,13,Ni,"13.000000,0.497706,0.248271",1|16|24|8,1|4|3|4,4,1,1,Co,0.0300,16,4,"Co,Cu,Fe,Ni",1.6887;1.6887;1.7175;1.7175;1.7536;1.7536;1.7731;1.7731;1.7917;1.7917;1.7951;1.7951;1.8231;1.8231;1.8341;1.8341,24,3,"Co,Fe,Ni",2.4820;2.4820;2.4820;2.4980;2.4980;2.4980;2.5032;2.5032;2.5032;2.5035;2.5035;2.5035;2.5036;2.5036;2.5036;2.5315;2.5315;2.5315;2.5350;2.5350;2.5350;2.5433;2.5433;2.5433,8,4,"Co,Cu,Ni,Ti",3.5201;3.5201;3.5401;3.5401;3.5620;3.5620;3.5740;3.5740
5,,,,,14,Ni,"14.000000,0.004853,0.248632",1|16|24|8,1|4|3|2,4,1,1,Cu,0.0230,16,4,"Co,Cu,Fe,Ni",1.7234;1.7234;1.7484;1.7484;1.7495;1.7495;1.7866;1.7866;1.8092;1.8092;1.8094;1.8094;1.8331;1.8331;1.8479;1.8479,24,3,"Co,Fe,Ni",2.4617;2.4617;2.4617;2.4927;2.4927;2.4927;2.4950;2.4950;2.4950;2.5027;2.5027;2.5027;2.5209;2.5209;2.5209;2.5281;2.5281;2.5281;2.5630;2.5630;2.5630;2.5642;2.5642;2.5642,8,2,"Co,Ni",3.5238;3.5238;3.5401;3.5401;3.5658;3.5658;3.5718;3.5718
5,,,,,15,Ni,"15.000000,0.005284,0.749806",1|16|24|8,1|3|3|4,4,1,1,Co,0.0159,16,3,"Co,Fe,Ti",1.7169;1.7169;1.7399;1.7399;1.7770;1.7770;1.7796;1.7796;1.8070;1.8070;1.8110;1.8110;1.8392;1.8392;1.8495;1.8495,24,3,"Co,Fe,Ni",2.5019;2.5019;2.5019;2.5287;2.5287;2.5287;2.5302;2.5302;2.5302;2.5352;2.5352;2.5352;2.5517;2.5517;2.5517;2.5899;2.5899;2.5899;2.6140;2.6140;2.6140;2.6219;2.6219;2.6219,8,4,"Co,Cu,Ni,Ti",3.4429;3.4429;3.5135;3.5135;3.5718;3.5718;3.5791;3.5791
5,,,,,16,Ni,"16.000000,0.248249,0.005914",1|16|24|8,1|3|4|2,4,1,1,Fe,0.0338,16,3,"Co,Fe,Ni",1.7048;1.7048;1.7383;1.7383;1.7407;1.7407;1.7543;1.7543;1.7947;1.7947;1.8078;1.8078;1.8339;1.8339;1.8352;1.8352,24,4,"Co,Cu,Ni,Ti",2.4582;2.4582;2.4582;2.4617;2.4617;2.4617;2.4823;2.4823;2.4823;2.4980;2.4980;2.4980;2.5038;2.5038;2.5038;2.5206;2.5206;2.5206;2.5352;2.5352;2.5352;2.5563;2.5563;2.5563,8,2,"Fe,Ni",3.4996;3.4996;3.5391;3.5391;3.5777;3.5777;3.5779;3.5779
5,,,,,17,Ni,"17.000000,0.750241,-0.001410",1|16|24|8,1|4|4|3,4,1,1,Fe,0.0878,16,4,"Co,Cu,Fe,Ti",1.7485;1.7485;1.7566;1.7566;1.7692;1.7692;1.7856;1.7856;1.8012;1.8012;1.8026;1.8026;1.8518;1.8518;1.8738;1.8738,24,4,"Co,Cu,Ni,Ti",2.5433;2.5433;2.5433;2.5517;2.5517;2.5517;2.5525;2.5525;2.5525;2.5581;2.5581;2.5581;2.5630;2.5630;2.5630;2.5726;2.5726;2.5726;2.5749;2.5749;2.5749;2.5802;2.5802;2.5802,8,3,"Co,Fe,Ni",3.5243;3.5243;3.5732;3.5732;3.5777;3.5777;3.5863;3.5863
5,,,,,18,Ni,"18.000000,0.249687,0.494647",1|16|24|8,1|3|4|3,4,1,1,Ni,0.0395,16,3,"Co,Fe,Ni",1.7433;1.7433;1.7476;1.7476;1.7487;1.7487;1.7595;1.7595;1.7613;1.7613;1.7939;1.7939;1.8261;1.8261;1.8277;1.8277,24,4,"Co,Cu,Ni,Ti",2.4743;2.4743;2.4743;2.4927;2.4927;2.4927;2.5031;2.5031;2.5031;2.5036;2.5036;2.5036;2.5243;2.5243;2.5243;2.5267;2.5267;2.5267;2.5277;2.5277;2.5277;2.5302;2.5302;2.5302,8,3,"Co,Fe,Ni",3.4996;3.4996;3.5272;3.5272;3.5763;3.5763;3.5795;3.5795
5,,,,,19,Ni,"19.000000,0.249690,0.500164",1|16|24|8,1|3|4|3,4,1,1,Ni,0.0395,16,3,"Co,Fe,Ni",1.7428;1.7428;1.7484;1.7484;1.7501;1.7501;1.7866;1.7866;1.7882;1.7882;1.7929;1.7929;1.7990;1.7990;1.8008;1.8008,24,4,"Co,Cu,Ni,Ti",2.4959;2.4959;2.4959;2.4984;2.4984;2.4984;2.4984;2.4984;2.4984;2.5019;2.5019;2.5019;2.5022;2.5022;2.5022;2.5209;2.5209;2.5209;2.5311;2.5311;2.5311;2.5315;2.5315;2.5315,8,3,"Co,Fe,Ni",3.5391;3.5391;3.5667;3.5667;3.5761;3.5761;3.5799;3.5799
5,,,,,20,Ni,"20.000000,0.248263,0.248675",1|16|24|8,1|4|3|3,4,1,1,Co,0.0382,16,4,"Co,Cu,Fe,Ni",1.7383;1.7383;1.7484;1.7484;1.7613;1.7613;1.7660;1.7660;1.7702;1.7702;1.7754;1.7754;1.7917;1.7917;1.8008;1.8008,24,3,"Co,Fe,Ni",2.4275;2.4275;2.4275;2.4593;2.4593;2.4593;2.4618;2.4618;2.4618;2.4716;2.4716;2.4716;2.4921;2.4921;2.4921;2.5011;2.5011;2.5011;2.5656;2.5656;2.5656;2.5669;2.5669;2.5669,8,3,"Co,Cu,Fe",3.5576;3.5576;3.5720;3.5720;3.5733;3.5733;3.5868;3.5868
5,,,,,21,Co,"21.000000,0.492433,0.000717",1|16|24|8,1|4|5|3,4,1,1,Co,0.0995,16,4,"Co,Fe,Ni,Ti",1.7345;1.7345;1.7471;1.7471;1.7543;1.7543;1.7731;1.7731;1.7979;1.7979;1.8139;1.8139;1.8518;1.8518;1.8528;1.8528,24,5,"Co,Cu,Fe,Ni,Ti",2.4669;2.4669;2.4669;2.4921;2.4921;2.4921;2.4930;2.4930;2.4930;2.5341;2.5341;2.5341;2.5600;2.5600;2.5600;2.5637;2.5637;2.5637;2.5690;2.5690;2.5690;2.5859;2.5859;2.5859,8,3,"Co,Fe,Ni",3.4590;3.4590;3.4899;3.4899;3.5465;3.5465;3.5650;3.5650
